"氏名","ふりがな","氏名ふりがな"
"駒村守晴","こまむらしゅせい","駒村守晴（こまむらしゅせい）"
"大原康惠","おおはらやすえ","大原康惠（おおはらやすえ）"
"樋園洋一","ひそのよういち","樋園洋一（ひそのよういち）"
"小野寺勉","おのでらつとむ","小野寺勉（おのでらつとむ）"
"堀内勲","ほりうちいさお","堀内勲（ほりうちいさお）"
"遠藤幸佑","えんどうこうすけ","遠藤幸佑（えんどうこうすけ）"
"和田良秋","わだよしあき","和田良秋（わだよしあき）"
"高木啓","たかぎけい","高木啓（たかぎけい）"
"堀内","ほりうち","堀内（ほりうち）"
"村山公佑","むらやまこうゆう","村山公佑（むらやまこうゆう）"
"松村善吉","まつむらぜんきち","松村善吉（まつむらぜんきち）"
"島岡清美","しまおかきよみ","島岡清美（しまおかきよみ）"
"永井四郎","ながいしろう","永井四郎（ながいしろう）"
"黛四郎","まゆずみしろう","黛四郎（まゆずみしろう）"
"早乙女政明","さおとめまさあき","早乙女政明（さおとめまさあき）"
"岩倉慶光","いわくらよしみつ","岩倉慶光（いわくらよしみつ）"
"苣木智治","ちゃのきともはる","苣木智治（ちゃのきともはる）"
"佐々木敏男","ささきとしお","佐々木敏男（ささきとしお）"
"安田","やすだ","安田（やすだ）"
"原田隆","はらだたかし","原田隆（はらだたかし）"
"三橋陸与","みつはしりくよ","三橋陸与（みつはしりくよ）"
"山口正次郎","やまぐちしょうじろう","山口正次郎（やまぐちしょうじろう）"
"金子","かねこ","金子（かねこ）"
"富岡博文","とみおかひろふみ","富岡博文（とみおかひろふみ）"
"江尻治雄","えじりはるお","江尻治雄（えじりはるお）"
"原田","はらだ","原田（はらだ）"
"羽生哲哉","はにゅうてつや","羽生哲哉（はにゅうてつや）"
"浅賀常太郎","あさがつねたろう","浅賀常太郎（あさがつねたろう）"
"福田［実］","ふくだ［み］","福田［実］（ふくだ［み］）"
"西良之","にしよしゆき","西良之（にしよしゆき）"
"曽根肇","そねはじめ","曽根肇（そねはじめ）"
"高木","たかぎ","高木（たかぎ）"
"池田勝美","いけだかつみ","池田勝美（いけだかつみ）"
"石川","いしかわ","石川（いしかわ）"
"三橋","みつはし","三橋（みつはし）"
"平田","ひらた","平田（ひらた）"
"鈴木","すずき","鈴木（すずき）"
"高木［啓］","たかぎ［けい］","高木［啓］（たかぎ［けい］）"
"松原茂","まつばらしげる","松原茂（まつばらしげる）"
"藤田","ふじた","藤田（ふじた）"
"小黒典秋","おぐろてんあき","小黒典秋（おぐろてんあき）"
"森野栄一","もりのえいいち","森野栄一（もりのえいいち）"
"黒田","くろだ","黒田（くろだ）"
